"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: size"
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,5200.442278,329.092669,"ops/s",0.5,32768
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,5568.867160,333.147062,"ops/s",0.5,65536
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,5315.841075,308.148217,"ops/s",0.5,131072
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,4494.766367,272.330851,"ops/s",0.5,262144
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,4206.196264,269.207730,"ops/s",0.5,524288
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,3918.060300,236.481178,"ops/s",0.5,1048576
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,3651.894199,228.130217,"ops/s",0.5,2097152
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,3648.831461,260.882164,"ops/s",0.5,4194304
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,3366.904472,203.176256,"ops/s",0.5,8388608
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,3045.082000,195.113978,"ops/s",0.5,16777316
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,36144.047271,2192.313953,"ops/s",0.75,1
"thrive.BenchmarkGet_ClojurePersistentHashMap.hittingGetClojurePersistentHashMap","thrpt",1,60,25999.375285,1796.950994,"ops/s",0.75,2
