test,name,amount,size
lin,IntChamp64Java,8388608,941688912
lin,ScalaTreeMap,1,232
lin,ScalaTreeMap,2,312
lin,ScalaTreeMap,4,472
lin,ScalaTreeMap,8,792
lin,ScalaTreeMap,16,1432
lin,ScalaTreeMap,32,2712
lin,ScalaTreeMap,64,5272
lin,ScalaTreeMap,128,10392
lin,ScalaTreeMap,256,20632
lin,ScalaTreeMap,512,41112
lin,ScalaTreeMap,1024,82072
lin,ScalaTreeMap,2048,163992
lin,ScalaTreeMap,4096,327832
lin,ScalaTreeMap,8192,655512
lin,ScalaTreeMap,16384,1310872
lin,ScalaTreeMap,32768,2621592
lin,ScalaTreeMap,65536,5243032
lin,ScalaTreeMap,131072,10485912
lin,ScalaTreeMap,262144,20971672
lin,ScalaTreeMap,524288,41943192
lin,ScalaTreeMap,1048576,83886232
lin,ScalaTreeMap,2097152,167772312
lin,ScalaTreeMap,4194304,335544472
lin,ScalaTreeMap,8388608,671088792
lin,ScalaIntMap,1,56
lin,ScalaIntMap,2,128
lin,ScalaIntMap,4,272
lin,ScalaIntMap,8,560
lin,ScalaIntMap,16,1136
lin,ScalaIntMap,32,2288
lin,ScalaIntMap,64,4592
lin,ScalaIntMap,128,9200
lin,ScalaIntMap,256,18416
lin,ScalaIntMap,512,36848
lin,ScalaIntMap,1024,73712
lin,ScalaIntMap,2048,147440
lin,ScalaIntMap,4096,294896
lin,ScalaIntMap,8192,589808
lin,ScalaIntMap,16384,1179632
lin,ScalaIntMap,32768,2359280
lin,ScalaIntMap,65536,4718576
lin,ScalaIntMap,131072,9437168
lin,ScalaIntMap,262144,18874352
lin,ScalaIntMap,524288,37748720
lin,ScalaIntMap,1048576,75497456
lin,ScalaIntMap,2097152,150994928
lin,ScalaIntMap,4194304,301989872
lin,ScalaIntMap,8388608,603979760
lin,IntChamp32Java,1,120
lin,IntChamp32Java,2,160
lin,IntChamp32Java,4,240
lin,IntChamp32Java,8,400
lin,IntChamp32Java,16,720
lin,IntChamp32Java,32,1360
lin,IntChamp32Java,64,4688
lin,IntChamp32Java,128,7248
lin,IntChamp32Java,256,12368
lin,IntChamp32Java,512,22608
lin,IntChamp32Java,1024,43088
lin,IntChamp32Java,2048,149584
lin,IntChamp32Java,4096,231504
lin,IntChamp32Java,8192,395344
lin,IntChamp32Java,16384,723024
lin,IntChamp32Java,32768,1378384
lin,IntChamp32Java,65536,4786256
lin,IntChamp32Java,131072,7407696
lin,IntChamp32Java,262144,12650576
lin,IntChamp32Java,524288,23136336
lin,IntChamp32Java,1048576,44107856
lin,IntChamp32Java,2097152,153159760
lin,IntChamp32Java,4194304,237045840
