test,name,amount,size
lin,ScalaRrbMap,128,1544
lin,ScalaRrbMap,256,2664
lin,ScalaRrbMap,512,4904
lin,ScalaRrbMap,1024,9384
lin,ScalaRrbMap,2048,18904
lin,ScalaRrbMap,4096,37384
lin,ScalaRrbMap,8192,74344
lin,ScalaRrbMap,16384,148264
lin,ScalaRrbMap,32768,296104
lin,ScalaRrbMap,65536,592344
lin,ScalaRrbMap,131072,1184264
lin,ScalaRrbMap,262144,2368104
lin,ScalaRrbMap,524288,4735784
lin,ScalaRrbMap,1048576,9471144
lin,ScalaRrbMap,2097152,18942424
lin,ScalaRrbMap,4194304,37884424
lin,ScalaRrbMap,8388608,75768424
lin,SdkMap,1,176
lin,SdkMap,2,264
lin,SdkMap,4,440
lin,SdkMap,8,792
lin,SdkMap,16,1496
lin,SdkMap,32,2904
lin,SdkMap,64,5720
lin,SdkMap,128,11352
lin,SdkMap,256,22616
lin,SdkMap,512,45144
lin,SdkMap,1024,90200
lin,SdkMap,2048,180312
lin,SdkMap,4096,360536
lin,SdkMap,8192,720984
lin,SdkMap,16384,1441880
lin,SdkMap,32768,2883672
lin,SdkMap,65536,5767256
lin,SdkMap,131072,11534424
lin,SdkMap,262144,23068760
lin,SdkMap,524288,46137432
lin,SdkMap,1048576,92274776
lin,SdkMap,2097152,184549464
lin,SdkMap,4194304,369098840
lin,SdkMap,8388608,738197592
lin,ScalaTreeMap,1,232
lin,ScalaTreeMap,2,312
lin,ScalaTreeMap,4,472
lin,ScalaTreeMap,8,792
lin,ScalaTreeMap,16,1432
lin,ScalaTreeMap,32,2712
lin,ScalaTreeMap,64,5272
lin,ScalaTreeMap,128,10392
lin,ScalaTreeMap,256,20632
lin,ScalaTreeMap,512,41112
lin,ScalaTreeMap,1024,82072
lin,ScalaTreeMap,2048,163992
lin,ScalaTreeMap,4096,327832
lin,ScalaTreeMap,8192,655512
lin,ScalaTreeMap,16384,1310872
lin,ScalaTreeMap,32768,2621592
lin,ScalaTreeMap,65536,5243032
lin,ScalaTreeMap,131072,10485912
lin,ScalaTreeMap,262144,20971672
lin,ScalaTreeMap,524288,41943192
lin,ScalaTreeMap,1048576,83886232
lin,ScalaTreeMap,2097152,167772312
lin,ScalaTreeMap,4194304,335544472
lin,ScalaTreeMap,8388608,671088792
lin,ScalaIntMap,1,56
lin,ScalaIntMap,2,128
lin,ScalaIntMap,4,272
lin,ScalaIntMap,8,560
lin,ScalaIntMap,16,1136
lin,ScalaIntMap,32,2288
lin,ScalaIntMap,64,4592
lin,ScalaIntMap,128,9200
lin,ScalaIntMap,256,18416
lin,ScalaIntMap,512,36848
lin,ScalaIntMap,1024,73712
lin,ScalaIntMap,2048,147440
lin,ScalaIntMap,4096,294896
lin,ScalaIntMap,8192,589808
lin,ScalaIntMap,16384,1179632
lin,ScalaIntMap,32768,2359280
lin,ScalaIntMap,65536,4718576
lin,ScalaIntMap,131072,9437168
lin,ScalaIntMap,262144,18874352
lin,ScalaIntMap,524288,37748720
lin,ScalaIntMap,1048576,75497456
lin,ScalaIntMap,2097152,150994928
lin,ScalaIntMap,4194304,301989872
lin,ScalaIntMap,8388608,603979760
lin,Trie2j,1,152
lin,Trie2j,2,160
lin,Trie2j,4,184
lin,Trie2j,8,232
lin,Trie2j,16,328
lin,Trie2j,32,520
lin,Trie2j,64,3944
lin,Trie2j,128,4712
lin,Trie2j,256,6248
lin,Trie2j,512,9320
lin,Trie2j,1024,15464
lin,Trie2j,2048,125032
lin,Trie2j,4096,149608
lin,Trie2j,8192,198760
lin,Trie2j,16384,297064
lin,Trie2j,32768,493672
lin,Trie2j,65536,3999848
lin,Trie2j,131072,4786280
lin,Trie2j,262144,6359144
lin,Trie2j,524288,9504872
lin,Trie2j,1048576,15796328
lin,Trie2j,2097152,127993960
lin,Trie2j,4194304,153159784
lin,Trie2j,8388608,203491432
lin,Trie1j,1,120
lin,Trie1j,2,160
lin,Trie1j,4,240
lin,Trie1j,8,400
lin,Trie1j,16,720
lin,Trie1j,32,1360
lin,Trie1j,64,4688
lin,Trie1j,128,7248
lin,Trie1j,256,12368
lin,Trie1j,512,22608
lin,Trie1j,1024,43088
lin,Trie1j,2048,149584
lin,Trie1j,4096,231504
lin,Trie1j,8192,395344
lin,Trie1j,16384,723024
lin,Trie1j,32768,1378384
lin,Trie1j,65536,4786256
lin,Trie1j,131072,7407696
lin,Trie1j,262144,12650576
lin,Trie1j,524288,23136336
lin,Trie1j,1048576,44107856
