"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: size"
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,45315.375215,2936.895255,"ops/s",0.75,32
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,43930.988432,2677.472925,"ops/s",0.75,64
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,41765.046748,2587.793310,"ops/s",0.75,128
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,41786.002776,2690.375365,"ops/s",0.75,256
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,41658.887343,2424.247668,"ops/s",0.75,512
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,35878.671912,2245.677787,"ops/s",0.75,1024
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,35811.632351,2272.654872,"ops/s",0.75,2048
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,35674.684612,2174.758218,"ops/s",0.75,4096
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,34846.112324,2159.990275,"ops/s",0.75,8192
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,33706.526433,2164.907964,"ops/s",0.75,16384
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,25305.775628,1531.906327,"ops/s",0.75,32768
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,23632.033029,1624.508330,"ops/s",0.75,65536
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,22238.743694,1397.568807,"ops/s",0.75,131072
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,20701.664179,1292.064819,"ops/s",0.75,262144
"thrive.BenchmarkGet_PaguroVectorMap.hittingGetPaguroVectorMap","thrpt",1,60,18279.495041,1202.470767,"ops/s",0.75,524288
