"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: density","Param: size"
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,9168.434455,595.170403,"ops/s",0.5,1835008
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,8515.881089,528.433634,"ops/s",0.5,2097152
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,8370.858935,542.523061,"ops/s",0.5,2621440
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,8218.488581,511.075502,"ops/s",0.5,3145728
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,7772.154152,450.558433,"ops/s",0.5,3670016
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,7961.996861,360.200408,"ops/s",0.5,4194304
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,7381.618163,550.120844,"ops/s",0.5,5242880
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,7369.375141,461.775730,"ops/s",0.5,6291456
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,7168.177802,435.964245,"ops/s",0.5,7340032
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,6852.070288,448.907087,"ops/s",0.5,8388608
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,6708.224151,407.290856,"ops/s",0.5,10485760
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,7076.622298,401.942212,"ops/s",0.5,12582912
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,6604.751562,387.889720,"ops/s",0.5,14680064
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,6591.524227,444.130824,"ops/s",0.5,16777216
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,5540.967835,354.169531,"ops/s",0.5,20971520
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,5440.144177,350.847763,"ops/s",0.5,25165824
"thrive.BenchmarkGet_RadixBalancedTree.hittingGetRadixBalancedTree","thrpt",1,60,5371.989814,322.838445,"ops/s",0.5,29360128
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,76671.373549,4892.521458,"ops/s",0.5,4
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,67334.404684,4356.780350,"ops/s",0.5,5
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,80430.563979,4780.898139,"ops/s",0.5,6
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,72642.460423,4319.045975,"ops/s",0.5,7
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,74772.482423,4712.216326,"ops/s",0.5,8
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,74732.107743,5143.197472,"ops/s",0.5,10
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,66946.518371,4814.113467,"ops/s",0.5,12
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,76285.019118,4620.874708,"ops/s",0.5,14
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,77034.982501,4536.118942,"ops/s",0.5,16
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,51490.154545,3099.747858,"ops/s",0.5,20
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,45257.958723,2779.080274,"ops/s",0.5,24
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,51789.172048,3204.605142,"ops/s",0.5,28
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,51514.710557,3033.659817,"ops/s",0.5,32
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,51024.814971,2992.732420,"ops/s",0.5,40
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,51505.198047,3250.474490,"ops/s",0.5,48
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,50777.822699,3202.774226,"ops/s",0.5,56
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,50573.331763,3069.697250,"ops/s",0.5,64
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,51744.302700,3189.319984,"ops/s",0.5,80
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,51852.947710,3048.059645,"ops/s",0.5,96
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,51360.857051,2952.511303,"ops/s",0.5,112
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,50800.172474,3133.259097,"ops/s",0.5,128
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,45795.862971,2878.765237,"ops/s",0.5,160
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,50679.665398,3257.280987,"ops/s",0.5,192
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,51226.229912,3007.223202,"ops/s",0.5,224
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,50852.234304,3302.880893,"ops/s",0.5,256
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,51444.117535,3078.286725,"ops/s",0.5,320
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,52034.329051,3046.698091,"ops/s",0.5,384
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,46242.430895,2796.706424,"ops/s",0.5,448
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,49692.457470,3050.538885,"ops/s",0.5,512
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,32055.249597,1927.505665,"ops/s",0.5,640
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,31674.406766,1825.247063,"ops/s",0.5,768
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,31566.245201,2024.700057,"ops/s",0.5,896
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,32834.149218,1901.687150,"ops/s",0.5,1024
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,32894.378469,2697.158630,"ops/s",0.5,1280
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,32486.352964,2129.993666,"ops/s",0.5,1536
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,32783.404427,1926.987973,"ops/s",0.5,1792
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,31119.690193,1939.724243,"ops/s",0.5,2048
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,31916.047092,1936.400402,"ops/s",0.5,2560
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,32088.957900,1928.572250,"ops/s",0.5,3072
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,31589.859402,2052.093324,"ops/s",0.5,3584
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,30791.300643,1935.723907,"ops/s",0.5,4096
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,30094.319531,1721.884231,"ops/s",0.5,5120
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,30816.287937,1861.968570,"ops/s",0.5,6144
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,30534.994726,1804.458967,"ops/s",0.5,7168
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,30480.177823,1830.733366,"ops/s",0.5,8192
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,29094.293687,1859.657553,"ops/s",0.5,10240
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,29282.388618,1733.939166,"ops/s",0.5,12288
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,28869.763140,1767.983698,"ops/s",0.5,14336
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,28159.624592,1677.356832,"ops/s",0.5,16384
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,23522.205039,1419.046606,"ops/s",0.5,20480
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,23283.086391,1451.178689,"ops/s",0.5,24576
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,23024.984104,1481.506899,"ops/s",0.5,28672
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,23000.026812,1423.749862,"ops/s",0.5,32768
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,22651.762573,1429.405672,"ops/s",0.5,40960
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,21703.516419,1585.913056,"ops/s",0.5,49152
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,21800.183856,1272.483125,"ops/s",0.5,57344
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,21473.193994,1401.259262,"ops/s",0.5,65536
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,20147.015912,1275.178483,"ops/s",0.5,81920
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,19284.222045,1202.349487,"ops/s",0.5,98304
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,19411.912963,1226.226552,"ops/s",0.5,114688
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,23091.252749,2912.489894,"ops/s",0.5,131072
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,18665.158447,1765.162768,"ops/s",0.5,163840
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,17341.165528,1063.236232,"ops/s",0.5,196608
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,17237.375047,1082.980895,"ops/s",0.5,229376
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,16268.029644,1050.399282,"ops/s",0.5,262144
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,15793.119850,987.229194,"ops/s",0.5,327680
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,14941.501989,875.413470,"ops/s",0.5,393216
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,14194.728514,968.583012,"ops/s",0.5,458752
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,14203.798083,877.563716,"ops/s",0.5,524288
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,10495.915262,669.732682,"ops/s",0.5,655360
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,9878.733435,576.702937,"ops/s",0.5,786432
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,10135.828257,599.025932,"ops/s",0.5,917504
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,9513.196242,576.626619,"ops/s",0.5,1048576
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,9384.424523,626.573488,"ops/s",0.5,1310720
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,9064.221709,572.189776,"ops/s",0.5,1572864
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,8916.692726,571.321468,"ops/s",0.5,1835008
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,8498.950167,576.837588,"ops/s",0.5,2097152
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,8939.475018,644.238676,"ops/s",0.5,2621440
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,8124.233768,513.926130,"ops/s",0.5,3145728
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,7553.543903,491.872189,"ops/s",0.5,3670016
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,8329.530479,372.339774,"ops/s",0.5,4194304
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,7680.577319,621.794502,"ops/s",0.5,5242880
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,7553.499393,494.720430,"ops/s",0.5,6291456
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,6757.802095,374.520090,"ops/s",0.5,7340032
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,7321.346247,459.650476,"ops/s",0.5,8388608
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,6810.108921,418.105373,"ops/s",0.5,10485760
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,6557.661374,428.005247,"ops/s",0.5,12582912
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,6729.859882,391.756044,"ops/s",0.5,14680064
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,6641.712975,374.838562,"ops/s",0.5,16777216
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,5472.752557,360.902580,"ops/s",0.5,20971520
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,5363.447664,328.689790,"ops/s",0.5,25165824
"thrive.BenchmarkGet_RadixBalancedTree.missingGetRadixBalancedTree","thrpt",1,60,5428.929287,318.123864,"ops/s",0.5,29360128
"thrive.BenchmarkGet_RadixBalancedTreeRedux.hittingGetRadixBalancedTreeRedux","thrpt",1,60,76639.894283,4611.863826,"ops/s",0.5,4
"thrive.BenchmarkGet_RadixBalancedTreeRedux.hittingGetRadixBalancedTreeRedux","thrpt",1,60,74444.470508,4628.185559,"ops/s",0.5,5
